timepoint_idx,timestamp,rep,scale_factor,exp_val
0,2026-04-23T16:37:23.136143+00:00,0,1.0,0.5625
0,2026-04-23T16:37:23.136143+00:00,0,3.0,0.228515625
0,2026-04-23T16:37:23.136143+00:00,0,5.0,0.12255859375
0,2026-04-23T16:37:23.136143+00:00,1,1.0,0.56689453125
0,2026-04-23T16:37:23.136143+00:00,1,3.0,0.25146484375
0,2026-04-23T16:37:23.136143+00:00,1,5.0,0.14697265625
0,2026-04-23T16:37:23.136143+00:00,2,1.0,0.5625
0,2026-04-23T16:37:23.136143+00:00,2,3.0,0.220703125
0,2026-04-23T16:37:23.136143+00:00,2,5.0,0.1591796875
0,2026-04-23T16:37:23.136143+00:00,3,1.0,0.57666015625
0,2026-04-23T16:37:23.136143+00:00,3,3.0,0.236328125
0,2026-04-23T16:37:23.136143+00:00,3,5.0,0.162109375
0,2026-04-23T16:37:23.136143+00:00,4,1.0,0.5869140625
0,2026-04-23T16:37:23.136143+00:00,4,3.0,0.216796875
0,2026-04-23T16:37:23.136143+00:00,4,5.0,0.1650390625
0,2026-04-23T16:37:23.136143+00:00,5,1.0,0.55029296875
0,2026-04-23T16:37:23.136143+00:00,5,3.0,0.21923828125
0,2026-04-23T16:37:23.136143+00:00,5,5.0,0.14453125
0,2026-04-23T16:37:23.136143+00:00,6,1.0,0.580078125
0,2026-04-23T16:37:23.136143+00:00,6,3.0,0.2314453125
0,2026-04-23T16:37:23.136143+00:00,6,5.0,0.13623046875
0,2026-04-23T16:37:23.136143+00:00,7,1.0,0.55322265625
0,2026-04-23T16:37:23.136143+00:00,7,3.0,0.2265625
0,2026-04-23T16:37:23.136143+00:00,7,5.0,0.140625
0,2026-04-23T16:37:23.136143+00:00,8,1.0,0.55615234375
0,2026-04-23T16:37:23.136143+00:00,8,3.0,0.22900390625
0,2026-04-23T16:37:23.136143+00:00,8,5.0,0.1484375
0,2026-04-23T16:37:23.136143+00:00,9,1.0,0.5791015625
0,2026-04-23T16:37:23.136143+00:00,9,3.0,0.23388671875
0,2026-04-23T16:37:23.136143+00:00,9,5.0,0.14453125
1,2026-04-23T17:07:23.236488+00:00,0,1.0,0.60302734375
1,2026-04-23T17:07:23.236488+00:00,0,3.0,0.19873046875
1,2026-04-23T17:07:23.236488+00:00,0,5.0,0.095703125
1,2026-04-23T17:07:23.236488+00:00,1,1.0,0.5615234375
1,2026-04-23T17:07:23.236488+00:00,1,3.0,0.24462890625
1,2026-04-23T17:07:23.236488+00:00,1,5.0,0.1259765625
1,2026-04-23T17:07:23.236488+00:00,2,1.0,0.57421875
1,2026-04-23T17:07:23.236488+00:00,2,3.0,0.21044921875
1,2026-04-23T17:07:23.236488+00:00,2,5.0,0.12646484375
1,2026-04-23T17:07:23.236488+00:00,3,1.0,0.556640625
1,2026-04-23T17:07:23.236488+00:00,3,3.0,0.216796875
1,2026-04-23T17:07:23.236488+00:00,3,5.0,0.11083984375
1,2026-04-23T17:07:23.236488+00:00,4,1.0,0.57666015625
1,2026-04-23T17:07:23.236488+00:00,4,3.0,0.2314453125
1,2026-04-23T17:07:23.236488+00:00,4,5.0,0.119140625
1,2026-04-23T17:07:23.236488+00:00,5,1.0,0.5673828125
1,2026-04-23T17:07:23.236488+00:00,5,3.0,0.220703125
1,2026-04-23T17:07:23.236488+00:00,5,5.0,0.13525390625
1,2026-04-23T17:07:23.236488+00:00,6,1.0,0.5869140625
1,2026-04-23T17:07:23.236488+00:00,6,3.0,0.22802734375
1,2026-04-23T17:07:23.236488+00:00,6,5.0,0.1337890625
1,2026-04-23T17:07:23.236488+00:00,7,1.0,0.6005859375
1,2026-04-23T17:07:23.236488+00:00,7,3.0,0.25732421875
1,2026-04-23T17:07:23.236488+00:00,7,5.0,0.11474609375
1,2026-04-23T17:07:23.236488+00:00,8,1.0,0.59033203125
1,2026-04-23T17:07:23.236488+00:00,8,3.0,0.234375
1,2026-04-23T17:07:23.236488+00:00,8,5.0,0.111328125
1,2026-04-23T17:07:23.236488+00:00,9,1.0,0.58837890625
1,2026-04-23T17:07:23.236488+00:00,9,3.0,0.2080078125
1,2026-04-23T17:07:23.236488+00:00,9,5.0,0.12255859375
2,2026-04-23T17:37:23.336807+00:00,0,1.0,0.53564453125
2,2026-04-23T17:37:23.336807+00:00,0,3.0,0.2099609375
2,2026-04-23T17:37:23.336807+00:00,0,5.0,0.1298828125
2,2026-04-23T17:37:23.336807+00:00,1,1.0,0.55517578125
2,2026-04-23T17:37:23.336807+00:00,1,3.0,0.2001953125
2,2026-04-23T17:37:23.336807+00:00,1,5.0,0.14306640625
2,2026-04-23T17:37:23.336807+00:00,2,1.0,0.5263671875
2,2026-04-23T17:37:23.336807+00:00,2,3.0,0.21484375
2,2026-04-23T17:37:23.336807+00:00,2,5.0,0.1689453125
2,2026-04-23T17:37:23.336807+00:00,3,1.0,0.54150390625
2,2026-04-23T17:37:23.336807+00:00,3,3.0,0.23828125
2,2026-04-23T17:37:23.336807+00:00,3,5.0,0.13623046875
2,2026-04-23T17:37:23.336807+00:00,4,1.0,0.56298828125
2,2026-04-23T17:37:23.336807+00:00,4,3.0,0.2001953125
2,2026-04-23T17:37:23.336807+00:00,4,5.0,0.13671875
2,2026-04-23T17:37:23.336807+00:00,5,1.0,0.5244140625
2,2026-04-23T17:37:23.336807+00:00,5,3.0,0.2041015625
2,2026-04-23T17:37:23.336807+00:00,5,5.0,0.140625
2,2026-04-23T17:37:23.336807+00:00,6,1.0,0.533203125
2,2026-04-23T17:37:23.336807+00:00,6,3.0,0.224609375
2,2026-04-23T17:37:23.336807+00:00,6,5.0,0.11865234375
2,2026-04-23T17:37:23.336807+00:00,7,1.0,0.5439453125
2,2026-04-23T17:37:23.336807+00:00,7,3.0,0.23681640625
2,2026-04-23T17:37:23.336807+00:00,7,5.0,0.1337890625
2,2026-04-23T17:37:23.336807+00:00,8,1.0,0.51708984375
2,2026-04-23T17:37:23.336807+00:00,8,3.0,0.19384765625
2,2026-04-23T17:37:23.336807+00:00,8,5.0,0.12939453125
2,2026-04-23T17:37:23.336807+00:00,9,1.0,0.54638671875
2,2026-04-23T17:37:23.336807+00:00,9,3.0,0.2060546875
2,2026-04-23T17:37:23.336807+00:00,9,5.0,0.12939453125
3,2026-04-23T18:07:23.436970+00:00,0,1.0,0.48388671875
3,2026-04-23T18:07:23.436970+00:00,0,3.0,0.16796875
3,2026-04-23T18:07:23.436970+00:00,0,5.0,0.09912109375
3,2026-04-23T18:07:23.436970+00:00,1,1.0,0.501953125
3,2026-04-23T18:07:23.436970+00:00,1,3.0,0.171875
3,2026-04-23T18:07:23.436970+00:00,1,5.0,0.08349609375
3,2026-04-23T18:07:23.436970+00:00,2,1.0,0.47607421875
3,2026-04-23T18:07:23.436970+00:00,2,3.0,0.16015625
