pdf_file,csv_paper,csv_rating,scan_candidate,match_tier,pattern_name,page,context_snippet
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,partial,weak,uncertainty,4,"definingandmeasuring centersindiamond[63]wasdemonstratedin[22]. There- quantum speedup. Using data from a D-Wave Two de- searchers achieved an energy uncertainty of about 10 14 − vice with up to 503 qubits, the study conducted bench- Hartree, surpassing the precision required for chemical mark tests with rando"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,partial,weak,fluctuation,5,d in- ing around 40 clock cycles with specific error rates could dividualtwo-level-systemdefectsastheprimarycauseof achieve this milestone [2]. these fluctuations by using qubits as temporal and spec- The experimental implementation of the VQE algo- tral probes. The findings provide a basis for enhancing rithm
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,partial,weak,fluctuation,28,",Benchmarkstudiesofvari- Boixo, Ryan Babbush, Vadim N Smelyanskiy, Hart- ational,unitaryandextendedcoupledclustermethods, mut Neven, John M Martinis, Fluctuations of energy- J. Chem. Phys. 133, 234102 (2010). relaxation times in superconducting qubits, Phys. Rev. [149] F. A. Evangelista, Alternative single-ref"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,std-dev,3,robe the quency and readout signal drift. We observe an average Λ = 2.18 ± 0.07 sensitivity of logical error to various error mechanisms in this new (standard deviation) and best Λ = 2.31 ± 0.02 (Supplementary Informa- regime. We start by testing how logical error scales with physical error tion) when decoding with t
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,1,"and a distance-5 code integrated with a real-time decoder. The logical error rate of our larger quantum memory is suppressed by a factor of Λ = 2.14 ± 0.02 when increasing the code distance by 2, culminating in a 101-qubit distance-7 code with 0.143% ± 0.003 per cent error per cycle of error correctio"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,1,"um memory is suppressed by a factor of Λ = 2.14 ± 0.02 when increasing the code distance by 2, culminating in a 101-qubit distance-7 code with 0.143% ± 0.003 per cent error per cycle of error correction. This logical memory is also beyond breakeven, exceeding the lifetime of its best physical qubit by"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,1,"ror per cycle of error correction. This logical memory is also beyond breakeven, exceeding the lifetime of its best physical qubit by a factor of 2.4 ± 0.3. Our system maintains below-threshold performance when decoding in real time, achieving an average decoder latency of 63 microseconds at distance 5"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,2,"gression of ln[ε] d paths towards real-time decoding with higher accuracy. To adapt to versus d. With our neural network decoder, we observe Λ = 2.14 ± 0.02 device noise, we fine-tune the neural network with processor data26 and ε = (1.43 ± 0.03) × 10−3 (Fig. 1c,d). With ensembled matching syn- 7 and a"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,2,"rsus d. With our neural network decoder, we observe Λ = 2.14 ± 0.02 device noise, we fine-tune the neural network with processor data26 and ε = (1.43 ± 0.03) × 10−3 (Fig. 1c,d). With ensembled matching syn- 7 and apply reinforcement learning optimization to the matching graph thesis, we observe Λ = 2.0"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,2,"3) × 10−3 (Fig. 1c,d). With ensembled matching syn- 7 and apply reinforcement learning optimization to the matching graph thesis, we observe Λ = 2.04 ± 0.02 and ε = (1.71 ± 0.03) × 10−3. 7 weights30. Furthermore, we simulate logical qubits of higher distances using a We operate a distance-7 surface cod"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,2,". With ensembled matching syn- 7 and apply reinforcement learning optimization to the matching graph thesis, we observe Λ = 2.04 ± 0.02 and ε = (1.71 ± 0.03) × 10−3. 7 weights30. Furthermore, we simulate logical qubits of higher distances using a We operate a distance-7 surface code memory comprising 4"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,2,"(ref. 17) d = 3 (mean) d = 5 (mean) d = 3 (individual) d = 5 (individual) Best physical qubit d = 7 d ,elcyc rep rorre lacigoL Simulated   3= 2.15 ± 0.02 5   5= 2.12 ± 0.04 7 V= 2.14 ± 0.02 evitalumuC noitubirtsid 1.0 1Q 0.5 CZ Idle Meas. Det. 0 10–4 10–3 10–2 10–1 Error probability naeM b Fig. 1"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,2,") d = 5 (mean) d = 3 (individual) d = 5 (individual) Best physical qubit d = 7 d ,elcyc rep rorre lacigoL Simulated   3= 2.15 ± 0.02 5   5= 2.12 ± 0.04 7 V= 2.14 ± 0.02 evitalumuC noitubirtsid 1.0 1Q 0.5 CZ Idle Meas. Det. 0 10–4 10–3 10–2 10–1 Error probability naeM b Fig. 1 | Surface code perfor"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,2,"= 3 (individual) d = 5 (individual) Best physical qubit d = 7 d ,elcyc rep rorre lacigoL Simulated   3= 2.15 ± 0.02 5   5= 2.12 ± 0.04 7 V= 2.14 ± 0.02 evitalumuC noitubirtsid 1.0 1Q 0.5 CZ Idle Meas. Det. 0 10–4 10–3 10–2 10–1 Error probability naeM b Fig. 1 | Surface code performance. a, Schemat"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,2,"led matching synthesis for 250 cycles). c, Logical error probability p for a range of memory experiment comparison. Line, fit to simulation; Λ = 2.25 ± 0.02. L sim durations. Each data point represents 105 repetitions decoded with the neural"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,3,"error budget for 1/Λ in the 72-qubit processor when decoding with correlated matching. Applying the same decoder to experimental data yields Λ = 1.97 ± 0.02. The error budget overpredicts Λ by 14% (Fig. 2c, ‘excess’), indicating that most but not all error effects in our processor have been captured. L"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,3,"surface codes with the metric proposed elsewhere16 (Supplementary Information). The transmon qubits15,32,38. distance-7 logical qubit lifetime is 291 ± 6 μs, exceeding the lifetimes of Finally, we test the sensitivity to drift. Using our 72-qubit proces- all the constituent physical qubits (median, 85"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,plus-minus-value,3,"μs, exceeding the lifetimes of Finally, we test the sensitivity to drift. Using our 72-qubit proces- all the constituent physical qubits (median, 85 ± 7 μs; best, 119 ± 13 μs) sor, we measure the logical performance of one distance-5 and four by a factor of 2.4 ± 0.3. Our logical memory beyond breakev"
