pdf_file,csv_paper,csv_rating,scan_candidate,match_tier,pattern_name,page,context_snippet
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,strong,Pauli-channel,7,"ing and machine learning [240] (see bitrary conditional phases [180], enabling the full fSim section VI). gate set. Results show an average two-qubit Pauli error The variational quantum unsampling protocol was in- of 3.8 10 − 3, reflecting high fidelity across 525 different × troduced in [241]. This method lea"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,strong,phase-damping,13,"s and the susceptibility of the quantum states to er- quantum processors exemplify Google Quantum AI’s rors [6]. Even a small error, such as a bit or phase flip dedication to pushing the frontiers of quantum comput- during the algorithm’s execution, can drastically alter ing. thespecklepattern,resultinginnear"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,strong,error-rate-value,22,"ciaslmquilbesittso:n1e0a 5 i,mlosgai-t − tpororceessesaorrcsh,ucotidliezitnhgaatlegxotreitnhdmssaannddleevxepreargiemseCntirsqth[5a0t6c]a.n cal qubit error rate: 10 6): This milestone aims at scaling quantum system−s to incorporate more log- berunwithReCirq[518],aGitHubrepositorydedicated 5. Engineering scale-up"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,strong,error-rate-value,22,"105,logi- ical qubits with high-fidelity gate operations. The to rVesIeIaIr.chTcoOdWeAthRatDeSxtLeAndRsGanEd-SlCevAerLaEgesUCSEirqFU[5L06]. cal qubit error rate: 10 6): This milestone aims at objective is to enable t−he implementation of sev- QUANTUM COMPUTERS eral error-corrected quantum computing applica- tion"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,gate-error,11,"tum processor’s ability to surpass a classical com- anti-concentration property, meaning errors in estimat- puter, is highly sensitive to errors. Any gate error [15– ing output probabilities are relatively small compared to 17]cancompromisetheexperiment,makingitarigorous the probabilities themselves [407]. Th"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,gate-error,12,"ratio of 1, resulting in an effective delityof0.37wasestimatedforthelargestcircuits. Given ≈ volume of around 250 gates and a computational cost of a gate error rate of approximately 1%, this corresponds 2 1012. toaneffectivevolumeofaround100,significantlysmaller × than the light cone volume, which includes a"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,gate-error,36,"(2020). ciechMruczkiewicz,ThomasEO’Brien,DanEBrowne, [380] Grimm,A.et al.StabilizationandoperationofaKerr- Software mitigation of coherent two-qubit gate errors, cat qubit. Nature 584, 205-209 (2020). Quantum Sci. Technol. 7 (2), 025021, (2022). [381] Ballance,C.,Harty,T.,Linke,N.,Sepiol,M.andLucas, [362] Er"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,Pauli-channel,2,"ons of error per cycle, ε, reducing with surface code distance d. Uncertainty on each d error probabilities measured on the 105-qubit processor. Red, Pauli errors for point is less than 7 × 10−5. The symbols match those in c. Means for d = 3 and d = 5 single-qubit gates; black, Pauli errors for CZ gates; gold,"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,Pauli-channel,2,"ubit processor. Red, Pauli errors for point is less than 7 × 10−5. The symbols match those in c. Means for d = 3 and d = 5 single-qubit gates; black, Pauli errors for CZ gates; gold, Pauli errors for data are computed from the separate ε fits for each code and basis. Line, fit to d qubit idle during measuremen"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,Pauli-channel,2,"for point is less than 7 × 10−5. The symbols match those in c. Means for d = 3 and d = 5 single-qubit gates; black, Pauli errors for CZ gates; gold, Pauli errors for data are computed from the separate ε fits for each code and basis. Line, fit to d qubit idle during measurement and reset; blue, identification"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,phase-damping,6,"- Nature 616, 56–60 (2023). face code operations59. With below-threshold surface codes, we have 37. Chen, Z. et al. Exponential suppression of bit or phase flip errors with repetitive error demonstrated processor performance that can scale in principle, but correction. Nature 595, 383–387 (2021). 38. Varbanov"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,noise-model-spec,2,"10−3. 7 weights30. Furthermore, we simulate logical qubits of higher distances using a We operate a distance-7 surface code memory comprising 49 data noise model based on the measured component error rates in Fig. 1b, qubits, 48 measure qubits and 4 additional leakage removal qubits17. additionally including leakage"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,local-noise,3,"elative contribution of different component errors to 1/Λ. We run simulations based on a detailed model of our 72-qubit processor. The model includes local noise sources due to gates and measurements, as well as two sources of correlated error: leakage, and stray interactions between neighbouring qubits with o"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,noise-model-mention,2,"10−3. 7 weights30. Furthermore, we simulate logical qubits of higher distances using a We operate a distance-7 surface code memory comprising 49 data noise model based on the measured component error rates in Fig. 1b, qubits, 48 measure qubits and 4 additional leakage removal qubits17. additionally including l"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,gate-error,3,"threshold behaviour in situ on a quantum processor. To quantify the impact of correlated errors along with more typical Detection probability, p det gate errors, we form an error budget. Using the method outlined else- where17,37, we estimate the relative contribution of different component errors to 1/Λ. We"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,gate-error,3,"qubit idle error during measurement and reset; meas., measurement and reset error; leakage, leakage during CZs and due to heating; 1Q, single- qubit gate error; excess, unmodelled error, which is the difference between experimental and simulated 1/Λ (correlated matching). d, Comparison of logical performance"
Amin et al. - 2023 - Quantum error mitigation in quantum annealing.pdf,Amin et al.,yes,partial,weak,noise-parameter,5,"exact theoretical predictions and providing a means to specify requirements on co- (depicted by the solid lines), compared to unmitigated herence and noise levels. When the objective involves results. In Fig. 3e, a few examples of extrapolation at optimizing for a lower energy solution, QAC techniques"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,partial,yes,strong,depolarizing,27,"ential extrapolation methods have been proposed and investi- Extrapolation step of the ZNE method can be consid- gated in (Cai, 2020a) and applied to depolarizing noise ered as a regression problem if we choose to consider in (Vovrosh et al., 2021). In fact, (Cai, 2020a) shows a generic model for calculating the expe"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,partial,yes,strong,depolarizing,59,"then averages over many sequences of each isoutput. TheintuitionbehindtheRBprotocolisthata lengthm. Moreformally,a4-stepRBprotocolconsistof (purely) depolarizing channel will cause exponential de- 1. Generate K sequences of m quantum operations cay of an excited state over time. m C with i ∈ [1,m] and j ∈ [1,K ], wher"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,partial,yes,strong,stochastic-noise,26,"ementandweusesuperscript(0)to denoteanidealnoise-freerealizationofastate,operation or observable quantity. Recently, it was also shown how to achieve stochastic error mitigation for a continuous V. PROGRAMMING AND MAXIMIZING NISQ UTILITY time evolution (Sun et al., 2020a). For a comprehensive CurrentNISQdeviceshave"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,partial,yes,strong,noise-model-spec,58,"tribution of states over the code space C. The algorithm introducedinSec.II.B.1,tostudyquantum-variationally is model-free, i.e. no assumption of the noise model is QCD are presented in (Dumitrescu et al., 2018; Liu and involved. The goal of the QVECTOR algorithm is to Xin,2020),andforthestudyneutrino-nucleusscat"
