pdf_file,csv_paper,csv_rating,scan_candidate,match_tier,pattern_name,page,context_snippet
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,uncertainty,4,"definingandmeasuring centersindiamond[63]wasdemonstratedin[22]. There- quantum speedup. Using data from a D-Wave Two de- searchers achieved an energy uncertainty of about 10 14 − vice with up to 503 qubits, the study conducted bench- Hartree, surpassing the precision required for chemical mark tests with rando"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,plus-minus,6,"tingqubitswerereportedin[180],achievingPauli error rates as low as 4.3 10 3 0.0002 in 18 ns, with In2020,severalnotableadvancementswerewitnessed. − × ± average gate fidelities up to 0.9966 0.0002. This im- Quantumsimulationsofchemistry,includingdiazeneiso- ± provement is attributed to the synchroniza"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,plus-minus,6,"veralnotableadvancementswerewitnessed. − × ± average gate fidelities up to 0.9966 0.0002. This im- Quantumsimulationsofchemistry,includingdiazeneiso- ± provement is attributed to the synchronization of gate merization, were explored in [228] using up to twelve parameters with minima in the leakage ch"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,plus-minus,15,"h it e , tr fi tu n rnu d cn i a n ct g aetd a e n dc o irc b ci s ur e ci r tu v si. e t d sT.F h X Tey E h B eays o s f ea ( rs 2 ts . e 2 tr 4 hta ± tt 0 ht . ah 2 t 1 e ) ta ×hvee 1 r 0 aa − vg 3 eer f afi o g r -e fi- clas H s o ic w a e l v m er e , th af o t d er s. the publication, a discussi"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,plus-minus,15,"teernttiahleopvuerbelsitciamtiaotnio,naofditshceustsimioenreemqueirrgeedd dedleitliytyoforfurnunninngintghetsheesceirccuir FictusXioEtnBsothnetqhueaqn± utuamntuprmo×cpersos−ocressor the truncated circuits. They assert that the average fi- However, after the publication, a discussion emerged isisatatl"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,plus-minus,15,"lo h w as es t t w e o ne c r o g n y - cuit,findinganobs×erved of(2.24 0.21) 10 3 for trol mechanisms: a microwave drive for excitation and XEB − F ± ×"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,sigma,31,"lay,TylerY.Takeshita,Amit [216] Martinis, J. M. and Geller, M. R. Fast adiabatic qubit Vainsencher,TheodoreWhite,NathanWiebe,Z.Jamie gates using only σ z. Control. Phy. Rev. A 90, 022307 Yao, Ping Yeh, Adam Zalcman, Hartree-Fock on a su- (2014). perconductingqubitquantumcomputer,arXivpreprint [217] Z"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,p-threshold,4,"ions. Smaller code distances are again subsampled from d = 29. Lines, power-law fits ε =A p(d+1)/2 (one fit parameter, A), restricted to ε > 10−7 and p < 0.3. d, 1/Λ d d det d d det scaling with the injected error. Typical relative fit uncertainty is 2%. Line, fit; 2.2p . To obtain the data in this figure,"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,std-dev,3,robe the quency and readout signal drift. We observe an average Λ = 2.18 ± 0.07 sensitivity of logical error to various error mechanisms in this new (standard deviation) and best Λ = 2.31 ± 0.02 (Supplementary Informa- regime. We start by testing how logical error scales with physical error tion) when decoding with t
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,uncertainty,2,"d, Logical leakage removal qubits at the boundary (green). b, Cumulative distributions of error per cycle, ε, reducing with surface code distance d. Uncertainty on each d error probabilities measured on the 105-qubit processor. Red, Pauli errors for point is less than 7 × 10−5. The symbols match those in c. M"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,uncertainty,4,"=A p(d+1)/2 (one fit parameter, A), restricted to ε > 10−7 and p < 0.3. d, 1/Λ d d det d d det scaling with the injected error. Typical relative fit uncertainty is 2%. Line, fit; 2.2p . To obtain the data in this figure, a 72-qubit processor is used. det"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,uncertainty,5,"the surface code with three decoders. We include the real-time decoder (RT), ensembled matching synthesis (Ens.) and the neural network decoder (NN). Uncertainty on each point is less than 4 × 10−4 (Supplementary Information). To obtain the data in this figure, a 72-qubit processor is used."
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,plus-minus,1,"and a distance-5 code integrated with a real-time decoder. The logical error rate of our larger quantum memory is suppressed by a factor of Λ = 2.14 ± 0.02 when increasing the code distance by 2, culminating in a 101-qubit distance-7 code with 0.143% ± 0.003 per cent error per cycle of error correct"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,plus-minus,1,"um memory is suppressed by a factor of Λ = 2.14 ± 0.02 when increasing the code distance by 2, culminating in a 101-qubit distance-7 code with 0.143% ± 0.003 per cent error per cycle of error correction. This logical memory is also beyond breakeven, exceeding the lifetime of its best physical qubit b"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,plus-minus,1,"ror per cycle of error correction. This logical memory is also beyond breakeven, exceeding the lifetime of its best physical qubit by a factor of 2.4 ± 0.3. Our system maintains below-threshold performance when decoding in real time, achieving an average decoder latency of 63 microseconds at distance"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,plus-minus,2,"gression of ln[ε] d paths towards real-time decoding with higher accuracy. To adapt to versus d. With our neural network decoder, we observe Λ = 2.14 ± 0.02 device noise, we fine-tune the neural network with processor data26 and ε = (1.43 ± 0.03) × 10−3 (Fig. 1c,d). With ensembled matching syn- 7 and"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,plus-minus,2,"rsus d. With our neural network decoder, we observe Λ = 2.14 ± 0.02 device noise, we fine-tune the neural network with processor data26 and ε = (1.43 ± 0.03) × 10−3 (Fig. 1c,d). With ensembled matching syn- 7 and apply reinforcement learning optimization to the matching graph thesis, we observe Λ = 2"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,plus-minus,2,"3) × 10−3 (Fig. 1c,d). With ensembled matching syn- 7 and apply reinforcement learning optimization to the matching graph thesis, we observe Λ = 2.04 ± 0.02 and ε = (1.71 ± 0.03) × 10−3. 7 weights30. Furthermore, we simulate logical qubits of higher distances using a We operate a distance-7 surface c"
