pdf_file,csv_paper,csv_rating,scan_candidate,match_tier,pattern_name,page,context_snippet
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,yes,strong,N-repetitions,9,"ntum AI. ure3). Theresearchalsoidentifieshigh-energyeventsaf- qubit)quantumprocessor. Theamplifierexhibitsnoneg- fecting performance using a distance-25 repetition code, ative effects on system noise, readout fidelity, or qubit highlighting progress and ongoing challenges in achiev- dephasing, with added noise o"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,yes,strong,N-repetitions,22,"orf-uclolrpreocttee2 nd2 - def run_simulation(): ctoiamlpouftqautiaonntsu.mAcomropaudtminagpbfyordeQveulaonptiunmg aCloamrgpe-ustcianlge num_qubits = 2 samples = 10 aqtuaGnotuomglecoQmupanuttuermcaApIabisleshofowconmipnleFxi,guerrreor1-2c.orrTechteeidr def run_simulation(): at Google Quantum AI is shown in F"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,yes,weak,repetition-mention,8,"nari [338], which can efficiently approximate the and QErC [284–286]. Sherrington-Kirkpatrick model’s ground state energy. The use of one-dimensional repetition codes on a 2- Additional contributions from 2022 include [339–367]. dimensional grid of superconducting qubits to achieve exponential suppression of"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,yes,weak,repetition-mention,9,"m AI. ure3). Theresearchalsoidentifieshigh-energyeventsaf- qubit)quantumprocessor. Theamplifierexhibitsnoneg- fecting performance using a distance-25 repetition code, ative effects on system noise, readout fidelity, or qubit highlighting progress and ongoing challenges in achiev- dephasing, with added noise o"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,yes,weak,repetition-mention,15,"21 15 11 µs singlecircuit,2,000reps. 0.3 0.3 0.2 KHz singlecircuit,2,000reps. 0.3 0.3 0.2 KHz 25sweeps,2,000reps. each 1.1 1.1 1.1 KHz Systemtimingb repetitionrate 25sweeps,2,000reps. each 1.1 1.1 1.1 KHz Systemtimingb repetitionratesinglecircuit,20,000reps. 2.1 2.1 1.9 KHz singlecircuit,20,000reps. 2.1 2.1"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,yes,weak,repetition-mention,15,"000reps. 0.3 0.3 0.2 KHz 25sweeps,2,000reps. each 1.1 1.1 1.1 KHz Systemtimingb repetitionrate 25sweeps,2,000reps. each 1.1 1.1 1.1 KHz Systemtimingb repetitionratesinglecircuit,20,000reps. 2.1 2.1 1.9 KHz singlecircuit,20,000reps. 2.1 2.1 1.9 KHz 25sweeps,20,000reps. each 4.1 4.1 4.0 KHz 25sweeps,20,000reps."
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,yes,weak,repetition-mention,22,"rSsse[[c66t]]i..onTThVhiissCrr)eeissnuul2ltt0s0siiggsnencii--- spirmiunlta(tgorrov=erc_icriqr.cSuiimtu)lator() result = simulator.run(grover_circuit, repetitions=samples) fifioeenssdsaa—ppaiivvnooettaanlldaaeaddvvvoaarnncctehemmateennwttouiinnldqqhuuaaavnnettuutmmakeccnoommclppauussttiiicnnaggl # # siA R mn u"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,N-shots,4,"ted algorithms in 0 the future, motivating us to reassess repetition codes on our newer 0 0.25 0.50 devices. Using our 72-qubit processor, we run 2 × 107 shots of a distance-29 b repetition code with 1,000 cycles of error correction, with the shots split evenly between bit- and phase-flip codes. In total, we"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,N-repetitions,2,"rror probability p for a range of memory experiment comparison. Line, fit to simulation; Λ = 2.25 ± 0.02. L sim durations. Each data point represents 105 repetitions decoded with the neural"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,N-repetitions,3,"rison of logical performance with and without DQLR in each cycle. Distance-3 points (red triangles) are averaged over 4 quadrants. Each experiment is 105 repetitions. Curves, exponential fits. QEC, quantum error correction. e, Repeating experiments to assess performance stability, comparing distance 3 and distance"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,N-repetitions,4,"etition codes. a, ε versus d d when decoding with minimum-weight perfect matching. The repetition code points are from d = 29, 103-cycle experiments, 107 repetitions for each basis X and Z. We subsample smaller codes from the same d = 29 dataset, averaging over subsamples. Line, fit of Λ. We include data from ref."
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,N-repetitions,4,"coherent errors on all the qubits and plot against the observed mean detection probability p . det Each experiment is ten cycles, and we average over 106 repetitions. Smaller code distances are again subsampled from d = 29. Lines, power-law fits ε =A p(d+1)/2 (one fit parameter, A), restricted to ε > 10−7 and p <"
