pdf_file,csv_paper,csv_rating,scan_candidate,match_tier,pattern_name,page,context_snippet
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,strong,computational-cost,1,rror correction 8 L. 2024: Continuing the quantum quest 10 I. INTRODUCTION IV. Comparing NISQ processors and classical computers 10 A. Evaluating the computational cost of noisy The Noisy Intermediate-Scale Quantum (NISQ) com- quantum processing experiments 10 puting era [1] has marked a significant milestone in the evo
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,strong,computational-cost,10,of the Kosterlitz-Thouless known as the “effective quantum volume” (EFQV) for phase transition [445] and deviations from Kibble-Zurek evaluating the computational cost of quantum experi- scaling [446] due to quantum-classical domain coarsen- ments. This measure quantifies the number of quantum ing [447]. It also examin
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,strong,computational-cost,10,"conditional unitary evolution, focusing on their effects on entanglement neg- ativity in quantum systems. By analyzing random mea- A. Evaluating the computational cost of noisy surement and feed-forward (MFF) processes [466, 467], quantum processing experiments the study identifies a sharp transition in the ability to"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,strong,computational-cost,12,"e fi- a signal-to-noise ratio of 1, resulting in an effective delityof0.37wasestimatedforthelargestcircuits. Given ≈ volume of around 250 gates and a computational cost of a gate error rate of approximately 1%, this corresponds 2 1012. toaneffectivevolumeofaround100,significantlysmaller × than the light cone volume, whi"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,strong,computational-cost,12,"ically chaotic, are hard to simulate OTOC measurements. Despite the experiment’s depth, classically and quickly decay in standard time-order cor- the computational cost is about 5 1011, nearly a tril- relators (TOCs) [29]. OTOCs, however, allow for grow- × lion times less than that of the recent RCS experiment. ingcompl"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,strong,computational-cost,39,".Milburn,QuantumMeasure- X. Mi, S. Boixo, V. Smelyanskiy, Effective quantum ment and Control (Cambridge University Press, 2009). volume, fidelity and computational cost of noisy quan- [467] A.MetelmannandA.A.Clerk,Nonreciprocalquantum tum processing experiments, Future Generation Com- interactions and devices via autono"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,strong,factor-of-N,4,"ion) Quantum Master demonstrated reduced error rates with increasing sys- Equation [49], the researchers developed a model that tem size, achieving a factor of 2.7 improvement with describes the effects of multi-qubit dissipative tunneling five qubits and 8.5 with nine qubits after eight cycles. in the presenc"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,strong,factor-of-N,12,"its scheme [483] achieved an effective fidelity of approximately 0.06 with to the data from [384]. They noted that an effective fi- a signal-to-noise ratio of 1, resulting in an effective delityof0.37wasestimatedforthelargestcircuits. Given ≈ volume of around 250 gates and a computational cost of a gate error"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,overhead-mention,29,", Buell, Brian Burkett, Z Chen, Ben Chiaro, Andrew (2018). Dunsworth, Brooks Foxen, Austin Fowler, C Gidney, [166] Austin G Fowler, Craig Gidney, Low overhead quan- Marissa Giustina, Rob Graff, Trent Huang, Evan Jef- tum computation using lattice surgery, arXiv preprint frey, J Kelly, Paul Victor Klimov, Fe"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,scaling-mention,4,"ap- computing [65, 80–83], using tomography to probe the proach established a robust platform for studying topo- system’s evolution and assess error scaling with system logical phenomena in quantum systems. size[7]. Theresearcherssolvedtheone-dimensionalIsing Dynamics-based sampling methods are improved ["
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,scaling-mention,8,"al states and employs a time- donotsurpasssomeclassicalalgorithms,highlightingthe reversal protocol to measure external decoherence ef- difficulty of scaling QAOA [204] for non-native problems fects. Efficient sampling of the eigen-spectrum and a andsuggestingafocusonnon-nativeproblemsforbench- finite-size"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,scaling-mention,8,"riments is demon- variable QErC codes [377–380]. Nevertheless, a pivotal strated in [325]. The study reveals that quantum ma- question persists: will scaling up the size of the error- chinescanofferexponentialadvantagesinpredictingsys- correcting code lead to lower logical error rates in prac- tem properti"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,scaling-mention,10,he “effective quantum volume” (EFQV) for phase transition [445] and deviations from Kibble-Zurek evaluating the computational cost of quantum experi- scaling [446] due to quantum-classical domain coarsen- ments. This measure quantifies the number of quantum ing [447]. It also examines the eigenstate therma
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,scaling-mention,22,"pororceessesaorrcsh,ucotidliezitnhgaatlegxotreitnhdmssaannddleevxepreargiemseCntirsqth[5a0t6c]a.n cal qubit error rate: 10 6): This milestone aims at scaling quantum system−s to incorporate more log- berunwithReCirq[518],aGitHubrepositorydedicated 5. Engineering scale-up(physicalqubits: 105,logi- ical qubi"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,scaling-mention,27,"ience 358 (6367), 1175-1179, (2017). ture 417, 709–711 (2002). [119] D. Jaksch and P. Zoller, Creation of effective magnetic [105] C. Monroe, J. Kim, Scaling the ion trap quantum pro- fieldsinopticallattices: thehofstadterbutterflyforcold cessor. Science 339, 1164–1169 (2013). neutral atoms, New J. Phys. 5"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,scaling-mention,28,"han,JarrodMcClean,NathanWiebe,Craig Sergio Boixo, Guglielmo Mazzola, Matthias Troyer, Gidney, Ala´n Aspuru-Guzik, Garnet Kin-Lic Chan, Hartmut Neven, Scaling analysis and instantons for RyanBabbush,Quantumsimulationofelectronicstruc- thermallyassistedtunnelingandquantumMonteCarlo turewithlineardepthandconn"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,scaling-mention,29,"ates for quantum simulation of Hamiltonian HartmutNeven,Quantumsimulationofchemistrywith spectra, Science advances 4 (1), eaap9646, (2018). sublinear scaling in basis size, npj Quantum Inf 5 (1), [160] Ryan Babbush, Craig Gidney, Dominic W Berry, 92, (2019). Nathan Wiebe, Jarrod McClean, Alexandru Paler, ["
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,partial,yes,weak,scaling-mention,34,"tNeven,JohnCPlatt,VadimNSmelyanskiy,Sergio tum 2 (3), 030305, (2021). Boixo, Efficient approximation of experimental Gaus- [297] Andrew D King et al. Scaling advantage over path- sian boson sampling, arXiv preprint arXiv:2109.11525, integralMonteCarloinquantumsimulationofgeomet- (2021). rically frustrated"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,factor-of-N,1,"03 per cent error per cycle of error correction. This logical memory is also beyond breakeven, exceeding the lifetime of its best physical qubit by a factor of 2.4 ± 0.3. Our system maintains below-threshold performance when decoding in real time, achieving an average decoder latency of 63 microseconds at dist"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,factor-of-N,3,"s- all the constituent physical qubits (median, 85 ± 7 μs; best, 119 ± 13 μs) sor, we measure the logical performance of one distance-5 and four by a factor of 2.4 ± 0.3. Our logical memory beyond breakeven extends distance-3 codes 16 times over 15 h, and the results are shown in Fig. 2e. previous results usin"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,factor-of-N,4,"1)/2) error suppression. For example, reduc- stand the cause of these events, but mitigating them remains vital to ing the detection probability by a factor of 2 manifests in reduction building a fault-tolerant quantum computer. These results reaffirm by a factor of 250 in logical error at distance 15, consist"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,factor-of-N,4,"ital to ing the detection probability by a factor of 2 manifests in reduction building a fault-tolerant quantum computer. These results reaffirm by a factor of 250 in logical error at distance 15, consistent with the Nature | Vol 638 | 27 February 2025 | 923 d ,elcyc rep rorre lacigoL d ,elcyc rep rorre lacigo"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,overhead-mention,6,"encoded lattice surgery. PRX Quantum 3, 010331 (2022). a quantum computer. SIAM Rev. 41, 303–332 (1999). 49. Bravyi, S. et al. High-threshold and low-overhead fault-tolerant quantum memory. Nature 8. Farhi, E. et al. A quantum adiabatic evolution algorithm applied to random instances of an 627, 778–782 (202"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,overhead-mention,6,"olution algorithm applied to random instances of an 627, 778–782 (2024). NP-complete problem. Science 292, 472–475 (2001). 50. Xu, Q. et al. Constant-overhead fault-tolerant quantum computation with reconfigurable 9. McKay, D. C. et al. Benchmarking quantum processor performance at scale. Preprint at atom a"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,scaling-mention,4,"ion, our processor expe- differently. rienced six of these large error bursts, which are responsible for the Furthermore, although we have tested the scaling law in equa- highest-distance failures. These bursts, such as the event shown in tion (1) at low distances, repetition codes enable us to scan to hig"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,scaling-mention,4,"similar coherent error injec- events17. They occur approximately once an hour, rather than once tion method as that in the surface code, we show the scaling of logical every few seconds, and they decay with an exponential time constant error versus physical error and code distance in Fig. 3c,d, observing"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,scaling-mention,4,",ytilibaborp ted d = 3 d = 5 d = 7 d = 9 d = 11 d = 13 d = 15 d = 17 d = 19 d = 21 d = 23 d = 25 d = 27 d = 29 p ted V/1 Fig. 3 | High-distance error scaling in repetition codes. a, ε versus d d when decoding with minimum-weight perfect matching. The repetition code points are from d = 29, 103-cycle experi"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,scaling-mention,4,"n probability. The inset shows the average detection probability for each measure qubit (coloured circle) in the grey-shaded window. c, Logical error scaling with the injected error. We inject a range of coherent errors on all the qubits and plot against the observed mean detection probability p . det Each"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,scaling-mention,4,"again subsampled from d = 29. Lines, power-law fits ε =A p(d+1)/2 (one fit parameter, A), restricted to ε > 10−7 and p < 0.3. d, 1/Λ d d det d d det scaling with the injected error. Typical relative fit uncertainty is 2%. Line, fit; 2.2p . To obtain the data in this figure, a 72-qubit processor is used. d"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,scaling-mention,5,Article expected O(p8) scaling. This shows the considerable error suppres- a Complete Processing Now Not started sion that should eventually enable large-scale fault-tolerant quant
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,weak,scaling-mention,6,"e might, 21. Gidney, C. & Ekerå, M. How to factor 2,048 bit RSA integers in 8 hours using 20 million in principle, achieve low logical error rates by scaling up our current noisy qubits. Quantum 5, 433 (2021). 22. Terhal, B. M. & Burkard, G. Fault-tolerant quantum computation for local non-Markovian proces"
