pdf_file,csv_paper,csv_rating,scan_candidate,match_tier,pattern_name,page,context_snippet
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,calibration-mention,7,"eading velocities of charge and spin densities hours using 20 million noisy qubits is presented in [271]. in the highly excited regime. Advanced gate calibration The paper outlines the requirements for this construc- and error-mitigation techniques [248, 254–256] were in- tion, including logical qubits, Tof"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,calibration-mention,13,"ress towards perimental results with theoretical predictions [6]. morerobustandscalablequantumsystems. Anarchitec- XEB [143, 489] offers a method for calibrating single- tural overview of Google’s Bristlecone-72 quantum pro- and 2-qubit gates and assessing fidelity in RQCs [144, cessor and series of sub-lat"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,calibration-mention,25,"rant, J Mutus, PJJ O’Malley, D Sank, [39] Kelly,J.andBarends,R.andFowler,etal.,Scalablein A Vainsencher, J Wenner, T White, A Polkovnikov, situ qubit calibration during repetitive error detection, AN Cleland, JM Martinis. Observation of topological Phys. Rev. A 94, 032321, (2016). transitionsininteractingqu"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,calibration-mention,34,"Quantum 2 (1), 010103, (2021). ET Holland, DP Pappas, JY Mutus, Cryogenic single- [299] Craig Gidney, Stim: a fast stabilizer circuit simulator, port calibration for superconducting microwave res- Quantum 5, 497, (2021). onator measurements, Quantum Sci. Technol. 6 (3), [300] Mario Motta, Erika Ye, Jarrod R"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,coherence-time,2,"n offers insights into their impact on this area has been the significant improvement in qubit both theoretical and practical aspects of quantum com- coherence times [33]. Coherence time, the period dur- puting. By analyzing their research and development ing which a qubit maintains its quantum state without effo"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,coherence-time,2,"their impact on this area has been the significant improvement in qubit both theoretical and practical aspects of quantum com- coherence times [33]. Coherence time, the period dur- puting. By analyzing their research and development ing which a qubit maintains its quantum state without efforts year by year, we a"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,coherence-time,2,"what lies ahead in and enhancing qubit design, Google Quantum AI has their ongoing quest to build error-corrected, large-scale successfully extended coherence times, thereby enhanc- quantum computers. ing the stability and reliability of their qubits. The subsequent sections of this paper are structured Error ma"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,na,partial,weak,coherence-time,13,"rings from the quantum ofquantumcomputing[186]. Bristlecone’sdesignfocuses processor matches the expected probabilities from clas- on improving qubit coherence times and reducing error sical simulations [6, 143, 144, 152]. This method allows rates, setting the stage for more sophisticated quantum for a rigorous p"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,recalibration,3,"LSs during the initial calibration as well as for the duration of the experiments. Between every four experimental Logical error sensitivity runs, we recalibrate the processor to account for potential qubit fre- Equipped with below-threshold logical qubits, we can now probe the quency and readout signal drift"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,yes,strong,recalibration,4,"re d = 3 (ref. 17) less sensitive to component-level fluctuations. Moreover, the logical 10–3 d = 5 10–2 error rates of experiments right after drift recalibration are not appre- ciably lower than those just prior, indicating that our logical qubit is 10–4 10–3 robust to the levels of qubit frequency and read"
